Folder Name,Number of Images,File Name,Annotations
test/img/,51,Acer palmatum_tree_1 (156).JPG,acer_palmatum
test/img/,51,Acer palmatum_tree_1 (90).jpg,acer_palmatum
test/img/,51,Cedrus deodara_tree_1 (107).jpg,cedrus_deodara
test/img/,51,Cedrus deodara_tree_1 (51).jpg,cedrus_deodara
test/img/,51,Celtis sinensis_tree_1 (130).jpg,celtis_sinensis
test/img/,51,Celtis sinensis_tree_1 (208).JPG,celtis_sinensis
test/img/,51,Cinnamomum camphora (Linn) Presl_tree_1 (114).jpg,cinnamomum_camphora_(linn)_presl
test/img/,51,Cinnamomum camphora (Linn) Presl_tree_1 (150).jpg,cinnamomum_camphora_(linn)_presl
test/img/,51,Cinnamomum camphora (Linn) Presl_tree_1 (236).JPG,cinnamomum_camphora_(linn)_presl
test/img/,51,Elaeocarpus decipiens_tree_1 (160).jpg,elaeocarpus_decipiens
test/img/,51,Elaeocarpus decipiens_tree_1 (172).jpg,elaeocarpus_decipiens
test/img/,51,Elaeocarpus decipiens_tree_1 (208).JPG,elaeocarpus_decipiens
test/img/,51,Flowering cherry_tree_1 (75).jpg,flowering_cherry
test/img/,51,Flowering cherry_tree_1 (83).jpg,flowering_cherry
test/img/,51,Ginkgo biloba_tree_1 (130).jpg,ginkgo_biloba
test/img/,51,Ginkgo biloba_tree_1 (154).jpg,ginkgo_biloba
test/img/,51,IMG_6726.JPG,lagerstroemia_indica
test/img/,51,Koelreuteria paniculata_tree_1 (158).jpg,koelreuteria_paniculata
test/img/,51,Liquidambar formosana_tree_1 (146).jpg,liquidambar_formosana
test/img/,51,Liquidambar formosana_tree_1 (69).jpg,liquidambar_formosana
test/img/,51,Liriodendron chinense_tree_1 (108).jpg,liriodendron_chinense
test/img/,51,Liriodendron chinense_tree_1 (126).jpg,liriodendron_chinense
test/img/,51,Liriodendron chinense_tree_1 (132).jpg,liriodendron_chinense
test/img/,51,Magnolia grandiflora L_tree_1 (107).jpg,magnolia_grandiflora_l
test/img/,51,Magnolia grandiflora L_tree_1 (95).jpg,magnolia_grandiflora_l
test/img/,51,Magnolia liliflora Desr_tree_1 (112).jpg,magnolia_liliflora_desr
test/img/,51,Magnolia liliflora Desr_tree_1 (214).JPG,magnolia_liliflora_desr
test/img/,51,Michelia chapensis_tree_1 (157).JPG,michelia_chapensis
test/img/,51,Michelia chapensis_tree_1 (171).JPG,michelia_chapensis
test/img/,51,Michelia chapensis_tree_1 (72).JPG,michelia_chapensis
test/img/,51,Michelia chapensis_tree_1 (85).JPG,michelia_chapensis
test/img/,51,Osmanthus fragrans_tree_1 (125).JPG,osmanthus_fragrans
test/img/,51,Osmanthus fragrans_tree_1 (95).JPG,osmanthus_fragrans
test/img/,51,Photinia serratifolia_tree_1 (144).JPG,photinia_serratifolia
test/img/,51,Platanus_tree_1 (111).jpg,platanus
test/img/,51,Platanus_tree_1 (129).jpg,platanus
test/img/,51,Platanus_tree_1 (165).jpg,platanus
test/img/,51,Prunus cerasifera f. atropurpurea_tree_1 (117).JPG,prunus_cerasifera_f._atropurpurea
test/img/,51,Prunus cerasifera f. atropurpurea_tree_1 (46).JPG,prunus_cerasifera_f._atropurpurea
test/img/,51,Prunus cerasifera f. atropurpurea_tree_1 (74).JPG,prunus_cerasifera_f._atropurpurea
test/img/,51,Salix babylonica_tree_1 (100).jpg,salix_babylonica
test/img/,51,Salix babylonica_tree_1 (88).jpg,salix_babylonica
test/img/,51,Sapindus saponaria_tree_1 (120).jpg,sapindus_saponaria
test/img/,51,Sapindus saponaria_tree_1 (141).jpg,sapindus_saponaria
test/img/,51,Sapindus saponaria_tree_1 (249).JPG,sapindus_saponaria
test/img/,51,Sapindus saponaria_tree_1 (278).JPG,sapindus_saponaria
test/img/,51,Triadica sebifera_tree_1 (135).jpg,triadica_sebifera
test/img/,51,Triadica sebifera_tree_1 (157).jpg,triadica_sebifera
test/img/,51,Triadica sebifera_tree_1 (60).jpg,triadica_sebifera
test/img/,51,Zelkova serrata_tree_1 (106).jpg,zelkova_serrata
test/img/,51,Zelkova serrata_tree_1 (178).JPG,zelkova_serrata
train/img/,418,Acer palmatum_tree_1 (101).jpg,acer_palmatum
train/img/,418,Acer palmatum_tree_1 (111).jpg,acer_palmatum
train/img/,418,Acer palmatum_tree_1 (113).jpg,acer_palmatum
train/img/,418,Acer palmatum_tree_1 (128).jpg,acer_palmatum
train/img/,418,Acer palmatum_tree_1 (130).jpg,acer_palmatum
